sentence,keywords,code,theme,label
,"backend, css, neural network",from tensorflow import keras,Web Development,0
debugging rn,"ai, neural network",from tensorflow import keras,Databases,0
analyzing data,"accuracy, training, ai, neural network",import sklearn,Machine Learning,1
working on something,"typing, computer",echo 'hi';,Web Development,0
improving accuracy,"training, ai, node",fetch('/api/data'),Machine Learning,0
creating a responsive layout,"html, react",console.log('hello'),Databases,0
building a website,"node, api, index",,Web Development,0
working on something,"computer, programming",int a = 5;,Machine Learning,0
,"dataset, ai, training",,Databases,0
fixing frontend bugs,"backend, javascript, neural network",import sklearn,Web Development,0
creating a responsive layout,"javascript, backend, css, react",fetch('/api/data'),Machine Learning,0
fixing frontend bugs,"html, javascript, css, react",function App() { return <h1>Hi</h1>; },Machine Learning,0
handling data storage,"database, query, training",import sklearn,Databases,0
testing a neural network,"ai, dataset, prediction",from tensorflow import keras,Machine Learning,1
managing tables,"columns, table",UPDATE users SET name='Alex';,Web Development,0
debugging rn,"typing, computer",int a = 5;,Web Development,0
building a website,"api, backend, css",,Web Development,1
,"query, columns, ai","model.fit(X, y)",Databases,0
coding lang eh,"programming, code",console.log('test'),Databases,0
making something idk,"react, api, frontend",<div>Hello</div>,Machine Learning,0
creating a responsive layout,,console.log('hello'),Web Development,1
building a website,"javascript, html, sql",DELETE FROM users WHERE id=1;,Web Development,0
improving accuracy,"model, training, prediction, neural network","model.fit(X, y)",Machine Learning,1
handling data storage,"columns, index, javascript",console.log('hello'),Databases,0
working on a web app,"javascript, frontend, rows",CREATE TABLE users(id INT);,Web Development,0
writing SQL queries,"rows, query, database",INSERT INTO users VALUES ('John');,Databases,1
debugging rn,"typing, code",int a = 5;,Machine Learning,0
writing SQL queries,"rows, sql, query, database",UPDATE users SET name='Alex';,Web Development,0
trying to fix bugs,,<div>Hello</div>,Web Development,1
building a website,"html, javascript, react",document.getElementById('app'),Databases,0
optimizing database,"database, query, index",SELECT * FROM users;,Web Development,0
fixing frontend bugs,"javascript, node, react",function App() { return <h1>Hi</h1>; },Machine Learning,0
testing a neural network,"neural network, accuracy, prediction",from tensorflow import keras,Machine Learning,1
,,,Machine Learning,0
testing a neural network,"training, ai, index",SELECT * FROM users;,Machine Learning,0
fixing frontend bugs,"javascript, api, frontend, react",document.getElementById('app'),Web Development,1
fixing frontend bugs,,console.log('hello'),Machine Learning,0
trying to fix bugs,"typing, programming",echo 'hi';,Databases,0
managing tables,"index, sql, model",,Databases,0
testing a neural network,"training, accuracy, frontend",console.log('hello'),Machine Learning,0
coding lang eh,"prediction, dataset, rows",INSERT INTO users VALUES ('John');,Machine Learning,0
managing tables,,UPDATE users SET name='Alex';,Web Development,0
working on a web app,"frontend, api, node",console.log('hello'),Web Development,1
trying to fix bugs,"code, programming",print('hello'),Web Development,0
making a login system,"html, react, javascript, node",console.log('hello'),Databases,0
fetching records,"rows, table, query",SELECT * FROM users;,Web Development,0
working on predictions,"ai, prediction, model",from tensorflow import keras,Machine Learning,1
fetching records,"table, sql, query, index",UPDATE users SET name='Alex';,Web Development,0
making a login system,"api, react",<div>Hello</div>,Web Development,1
debugging rn,"training, model, prediction",import sklearn,Machine Learning,1
analyzing data,"prediction, training",from tensorflow import keras,Databases,0
,"javascript, html, react, frontend",fetch('/api/data'),Web Development,1
improving accuracy,"accuracy, neural network, columns",SELECT * FROM users;,Machine Learning,0
idk doing coding,"sql, rows, database, columns",UPDATE users SET name='Alex';,Databases,1
trying to fix bugs,"table, index, sql, database",DELETE FROM users WHERE id=1;,Web Development,0
training a model,"prediction, accuracy, index",DELETE FROM users WHERE id=1;,Machine Learning,0
,"prediction, ai, css",fetch('/api/data'),Machine Learning,0
fixing frontend bugs,"backend, react, frontend, html",function App() { return <h1>Hi</h1>; },Web Development,1
debugging rn,"computer, programming",print('hello'),Web Development,0
managing tables,"database, columns, index, table",CREATE TABLE users(id INT);,Machine Learning,0
,"css, frontend, html",document.getElementById('app'),Machine Learning,0
optimizing database,"rows, database, model","model.fit(X, y)",Databases,0
,"database, table, rows, query",UPDATE users SET name='Alex';,Databases,1
fixing frontend bugs,"react, backend, node",document.getElementById('app'),Web Development,1
making a login system,"frontend, api",console.log('hello'),Web Development,1
working on a web app,"node, html, frontend",<div>Hello</div>,Web Development,1
optimizing database,"table, sql",DELETE FROM users WHERE id=1;,Machine Learning,0
idk doing coding,"query, columns, dataset",from tensorflow import keras,Databases,0
making something idk,"code, programming",print('hello'),Machine Learning,0
fixing frontend bugs,"api, node, prediction",predict(X_test),Web Development,0
,"react, node, javascript",console.log('hello'),Web Development,1
idk doing coding,,,Machine Learning,1
working on a web app,"frontend, node",<div>Hello</div>,Web Development,1
managing tables,"database, index, prediction",loss.backward(),Databases,0
fetching records,"rows, sql, columns",SELECT * FROM users;,Databases,1
training a model,"dataset, model, prediction",from tensorflow import keras,Machine Learning,1
uh fixing stuff,"index, rows, columns",,Machine Learning,0
analyzing data,,loss.backward(),Machine Learning,1
working on something,"code, computer",echo 'hi';,Databases,0
uh fixing stuff,"computer, code",int a = 5;,Machine Learning,0
trying to fix bugs,"code, programming",int a = 5;,Web Development,0
idk doing coding,"rows, database, query, index",INSERT INTO users VALUES ('John');,Databases,1
training a model,"dataset, training, model",from tensorflow import keras,Databases,0
improving accuracy,"dataset, neural network, accuracy",loss.backward(),Machine Learning,1
uh fixing stuff,,function App() { return <h1>Hi</h1>; },Machine Learning,0
working on predictions,,DELETE FROM users WHERE id=1;,Machine Learning,0
analyzing data,"neural network, model, training, prediction",from tensorflow import keras,Machine Learning,1
improving accuracy,"training, neural network, ai",loss.backward(),Machine Learning,1
,"database, table, rows, query",CREATE TABLE users(id INT);,Databases,1
making a login system,"frontend, javascript",<div>Hello</div>,Web Development,1
debugging rn,"backend, css, api",<div>Hello</div>,Web Development,1
optimizing database,"columns, query, table, rows",INSERT INTO users VALUES ('John');,Databases,1
handling data storage,"index, table, database",SELECT * FROM users;,Databases,1
making a login system,,,Web Development,1
,"query, table",DELETE FROM users WHERE id=1;,Machine Learning,0
debugging rn,"prediction, model, columns",DELETE FROM users WHERE id=1;,Machine Learning,0
,"prediction, dataset, model, neural network",loss.backward(),Machine Learning,1
making something idk,"accuracy, model",from tensorflow import keras,Machine Learning,1
fetching records,"index, query, prediction",loss.backward(),Databases,0
testing a neural network,"model, prediction, ai, training",predict(X_test),Machine Learning,1
,"node, api, html, backend",document.getElementById('app'),Machine Learning,0
building a website,"frontend, css, react",fetch('/api/data'),Machine Learning,0
writing SQL queries,"query, index",SELECT * FROM users;,Machine Learning,0
fetching records,"columns, database",SELECT * FROM users;,Web Development,0
,"table, query, javascript",fetch('/api/data'),Databases,0
making something idk,"computer, programming",print('hello'),Databases,0
creating a responsive layout,"html, javascript",fetch('/api/data'),Web Development,1
fetching records,"index, query",DELETE FROM users WHERE id=1;,Databases,1
fixing frontend bugs,"css, javascript, frontend, react",,Web Development,1
creating a responsive layout,"frontend, api, html",console.log('hello'),Web Development,1
working on predictions,"model, dataset, training, prediction","model.fit(X, y)",Machine Learning,1
testing a neural network,"accuracy, model, prediction",loss.backward(),Web Development,0
analyzing data,"model, training, css",fetch('/api/data'),Machine Learning,0
analyzing data,"model, neural network, dataset, ai","model.fit(X, y)",Databases,0
debugging rn,"accuracy, ai, dataset, training",,Machine Learning,1
testing a neural network,"ai, neural network, training",from tensorflow import keras,Databases,0
managing tables,"database, index, rows, columns",SELECT * FROM users;,Databases,1
fetching records,"sql, rows, backend",fetch('/api/data'),Databases,0
training a model,"prediction, neural network, node",console.log('hello'),Machine Learning,0
making a login system,"html, javascript, frontend",document.getElementById('app'),Databases,0
handling data storage,"query, columns",UPDATE users SET name='Alex';,Databases,1
analyzing data,"dataset, training, model, neural network","model.fit(X, y)",Web Development,0
handling data storage,,<div>Hello</div>,Databases,0
idk doing coding,"table, columns, react",fetch('/api/data'),Databases,0
trying to fix bugs,"accuracy, dataset, training","model.fit(X, y)",Machine Learning,1
fixing frontend bugs,"css, node, api",<div>Hello</div>,Machine Learning,0
fetching records,,INSERT INTO users VALUES ('John');,Databases,1
fetching records,"query, database, sql",UPDATE users SET name='Alex';,Machine Learning,0
building a website,"html, css, react, javascript",function App() { return <h1>Hi</h1>; },Machine Learning,0
optimizing database,"table, database",UPDATE users SET name='Alex';,Databases,1
making a login system,"node, react, backend, frontend",fetch('/api/data'),Web Development,1
handling data storage,"columns, query",UPDATE users SET name='Alex';,Databases,1
fixing frontend bugs,"javascript, api, dataset","model.fit(X, y)",Web Development,0
working on predictions,"neural network, training, database",UPDATE users SET name='Alex';,Machine Learning,0
uh fixing stuff,"query, database, neural network","model.fit(X, y)",Databases,0
fetching records,"sql, columns",UPDATE users SET name='Alex';,Databases,1
,"react, backend",console.log('hello'),Databases,0
working on a web app,,UPDATE users SET name='Alex';,Web Development,0
testing a neural network,"training, dataset",import sklearn,Machine Learning,1
fetching records,"table, index, accuracy",from tensorflow import keras,Databases,0
idk doing coding,"code, computer",print('hello'),Web Development,0
,"backend, api, node",<div>Hello</div>,Web Development,1
handling data storage,,document.getElementById('app'),Databases,0
trying to fix bugs,,INSERT INTO users VALUES ('John');,Machine Learning,0
handling data storage,,UPDATE users SET name='Alex';,Databases,1
fixing frontend bugs,"css, backend, training",from tensorflow import keras,Web Development,0
debugging rn,"computer, typing",console.log('test'),Databases,0
fetching records,,DELETE FROM users WHERE id=1;,Machine Learning,0
improving accuracy,,SELECT * FROM users;,Machine Learning,0
idk doing coding,"accuracy, prediction",from tensorflow import keras,Machine Learning,1
,"dataset, neural network, model, accuracy",import sklearn,Machine Learning,1
uh fixing stuff,"accuracy, training","model.fit(X, y)",Databases,0
writing SQL queries,"database, table, query",DELETE FROM users WHERE id=1;,Databases,1
building a website,,fetch('/api/data'),Web Development,1
,"columns, index, api",<div>Hello</div>,Databases,0
working on a web app,"node, frontend, index",SELECT * FROM users;,Web Development,0
uh fixing stuff,"neural network, ai, model, accuracy",import sklearn,Machine Learning,1
uh fixing stuff,"programming, computer",print('hello'),Machine Learning,0
working on something,"typing, programming",int a = 5;,Machine Learning,0
improving accuracy,"dataset, ai, neural network","model.fit(X, y)",Machine Learning,1
improving accuracy,"ai, prediction, api",,Machine Learning,0
improving accuracy,"neural network, dataset, javascript",<div>Hello</div>,Machine Learning,0
idk doing coding,"react, css, accuracy","model.fit(X, y)",Web Development,0
uh fixing stuff,"node, api, html, css",<div>Hello</div>,Web Development,1
